Datetime,PredictedDemand,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,Holiday,Weekend,RiskLevel
2017-12-31 00:00:00,26328.380859375,13.170000076293945,52.66999816894531,0.07699999958276749,0.06199999898672104,0.12600000202655792,0,1,NORMAL
2017-12-31 00:10:00,25380.765625,13.069999694824219,52.66999816894531,0.07699999958276749,0.03700000047683716,0.11100000143051147,0,1,NORMAL
2017-12-31 00:20:00,24153.3984375,12.989999771118164,53.470001220703125,0.07900000363588333,0.06599999964237213,0.08500000089406967,0,1,NORMAL
2017-12-31 00:30:00,23131.470703125,12.84000015258789,53.77000045776367,0.07599999755620956,0.05900000035762787,0.11900000274181366,0,1,NORMAL
2017-12-31 00:40:00,22207.419921875,12.699999809265137,54.540000915527344,0.07900000363588333,0.03999999910593033,0.12999999523162842,0,1,NORMAL
2017-12-31 00:50:00,21476.115234375,12.640000343322754,53.540000915527344,0.07699999958276749,0.06199999898672104,0.08900000154972076,0,1,NORMAL
2017-12-31 01:00:00,20846.861328125,12.710000038146973,52.7400016784668,0.07800000160932541,0.04399999976158142,0.08900000154972076,0,1,NORMAL
2017-12-31 01:10:00,20345.90625,12.579999923706055,52.16999816894531,0.07800000160932541,0.0729999989271164,0.11500000208616257,0,1,NORMAL
2017-12-31 01:20:00,20018.142578125,12.470000267028809,52.27000045776367,0.07500000298023224,0.05900000035762787,0.13300000131130219,0,1,NORMAL
2017-12-31 01:30:00,19640.814453125,12.449999809265137,52.34000015258789,0.07699999958276749,0.03700000047683716,0.10400000214576721,0,1,NORMAL
2017-12-31 01:40:00,19335.572265625,12.470000267028809,52.540000915527344,0.07699999958276749,0.08799999952316284,0.08500000089406967,0,1,NORMAL
2017-12-31 01:50:00,19012.484375,12.380000114440918,52.7400016784668,0.07800000160932541,0.07699999958276749,0.07000000029802322,0,1,NORMAL
2017-12-31 02:00:00,18736.76171875,12.1899995803833,52.400001525878906,0.07800000160932541,0.03700000047683716,0.12600000202655792,0,1,NORMAL
2017-12-31 02:10:00,18474.33984375,12.010000228881836,53.29999923706055,0.07699999958276749,0.07000000029802322,0.10000000149011612,0,1,NORMAL
2017-12-31 02:20:00,18291.556640625,11.979999542236328,53.400001525878906,0.07999999821186066,0.07699999958276749,0.09600000083446503,0,1,NORMAL
2017-12-31 02:30:00,18029.87109375,11.949999809265137,53.099998474121094,0.07800000160932541,0.05900000035762787,0.1340000033378601,0,1,NORMAL
2017-12-31 02:40:00,17793.591796875,11.84000015258789,53.470001220703125,0.07699999958276749,0.04800000041723251,0.0820000022649765,0,1,NORMAL
2017-12-31 02:50:00,17571.291015625,11.760000228881836,53.400001525878906,0.07699999958276749,0.08100000023841858,0.07800000160932541,0,1,NORMAL
2017-12-31 03:00:00,17392.509765625,11.680000305175781,53.34000015258789,0.07900000363588333,0.04399999976158142,0.11500000208616257,0,1,NORMAL
