Datetime,AverageDemand,MinimumDemand,MaximumDemand
2017-12-31 00:00:00,23779.591796875,21476.115234375,26328.380859375
2017-12-31 01:00:00,19866.630208333332,19012.484375,20846.861328125
2017-12-31 02:00:00,18149.568684895832,17571.291015625,18736.76171875
2017-12-31 03:00:00,17037.9482421875,16704.224609375,17392.509765625
2017-12-31 04:00:00,16466.854817708332,16369.5546875,16586.62890625
2017-12-31 05:00:00,16471.789388020832,16368.330078125,16593.552734375
2017-12-31 06:00:00,16709.715494791668,16618.8046875,16769.84765625
2017-12-31 07:00:00,16399.951009114582,16138.7412109375,16665.1875
2017-12-31 08:00:00,16763.689453125,16326.8125,17264.4375
2017-12-31 09:00:00,18109.472005208332,17507.44921875,18712.880859375
2017-12-31 10:00:00,19644.545247395832,18982.796875,20304.587890625
2017-12-31 11:00:00,21094.423828125,20542.13671875,21609.52734375
2017-12-31 12:00:00,21889.72265625,21740.177734375,21979.470703125
2017-12-31 13:00:00,21836.6484375,21734.763671875,21946.169921875
2017-12-31 14:00:00,21689.302734375,21633.64453125,21732.341796875
2017-12-31 15:00:00,21768.674479166668,21693.556640625,21904.037109375
2017-12-31 16:00:00,22457.312825520832,21931.92578125,23529.798828125
2017-12-31 17:00:00,30324.58984375,24565.134765625,35316.78125
2017-12-31 18:00:00,36706.079427083336,36079.703125,37374.87109375
2017-12-31 19:00:00,37787.212890625,37594.91796875,37988.078125
2017-12-31 20:00:00,37944.979166666664,37634.95703125,38080.6875
2017-12-31 21:00:00,36345.581380208336,35404.08984375,37241.55859375
2017-12-31 22:00:00,33864.480143229164,32392.673828125,35013.34765625
2017-12-31 23:00:00,28618.909830729168,25481.291015625,31470.9609375
